data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,eccentricity,perihelion_distance,perihelion_time,absolute_magnitude,relative_velocity,hazardous,estimated_diameter
33947.0,686,0,0.107969,0.4346323375284623,1.085410512318736,2460838.91416286,17.37,10.7701740589,False,1.44391828755
24702.0,55,0,0.108832,0.5702246324910014,1.093710065044063,2460911.462842118,18.38,15.120986141,False,0.90686494995
32656.0,149,0,0.0115133,0.7641272866540292,0.442031456643264,2460936.782922344,18.69,19.3298299696,True,0.7862173380499999
15749.0,61,1,0.00853299,0.5030860272069245,0.7948729510676352,2460924.1812642,18.05,27.4377860884,True,1.05570509335
16477.0,572,0,0.00662601,0.4499362680235325,0.4641772223384067,2461124.783926365,20.43,17.4915658691,True,0.35281140595
16284.0,83,1,0.153128,0.5646616075716824,1.101552200761238,2460956.7156243967,17.48,17.1348117091,False,1.37259564575
15858.0,2780,0,0.0146456,0.3231610018585832,0.8190773163151691,2461053.7872167057,19.56,12.9576030696,True,0.5266748944
15208.0,211,0,0.0366368,0.4458609644108424,1.016589680452097,2460767.6392556643,19.01,10.8941174534,True,0.6784886966
16395.0,1985,0,0.056701,0.4590032613687189,1.042983804799984,2461128.2267847843,17.45,9.7158922895,False,1.39169035325
13904.0,680,0,0.177119,0.3166725844579009,1.055488181123793,2460685.582686404,17.94,7.3299903587,False,1.1105615082
14206.0,1296,0,0.0191115,0.4440123314329569,0.5889944965048441,2461108.9702831446,18.49,15.1768344049,True,0.8620701686
32370.0,1544,0,0.0287294,0.5866098147000343,0.5961937236544746,2460895.572705144,17.28,21.4229836366,True,1.5050211977
13171.0,2631,0,0.173338,0.2501386611436746,0.7813737352246312,2460994.9535285095,17.37,8.2268602192,False,1.44391828755
11706.0,424,0,0.00384865,0.3569481235311107,0.6575542925440822,2461133.343471773,20.74,12.6417912422,True,0.30587403825
15434.0,4994,0,0.00416481,0.3587882686489839,0.9521989214483249,2460909.033580452,18.75,5.5448650497,True,0.76479073285
14739.0,332,0,0.108283,0.5178619503805612,1.076646363938396,2460447.07468556,19.6,15.9605599715,False,0.5170619942
13146.0,654,0,0.0202841,0.4831979099070784,0.5494090391109215,2461040.79143364,17.4,15.6642793458,True,1.4241069859
17364.0,846,0,0.149634,0.1684400403449577,1.139330907017112,2460951.099434792,18.09,7.4478980859,False,1.0364363038
12135.0,1605,0,0.0448405,0.4782496491603317,0.8096138909255357,2460801.203247742,17.84,10.9407215934,True,1.1629006596
2218.0,67,2,0.121491,0.2801400809438404,0.7100332099290859,2460932.591469318,19.91,12.9443112777,False,0.44827303639999994
14660.0,1214,0,0.0336088,0.4064912990150852,0.5519625934305499,2461009.9180771727,17.38,14.8771271924,True,1.4372840856
15950.0,458,0,0.0698461,0.4443397656934985,1.052331244223717,2461369.1705455864,18.89,6.5462276888,False,0.7170387344
