data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,epoch_osculation,eccentricity,perihelion_distance,perihelion_time,absolute_magnitude_h,estimated_diameter_kilometers_min,estimated_diameter_kilometers_max,relative_velocity0,miss_distance_kilometers0,is_potentially_hazardous_asteroid
33947.0,686,0,0.107969,2461000.5,0.4346323375284623,1.085410512318736,2460838.91416286,17.37,0.8923905787,1.9954459964,10.7701740589,27512874.49403824,False
24702.0,55,0,0.108832,2461000.5,0.5702246324910014,1.093710065044063,2460911.462842118,18.38,0.5604733623,1.2532565376,15.120986141,3789658.286758657,False
32656.0,149,0,0.0115133,2461000.5,0.7641272866540292,0.442031456643264,2460936.782922344,18.69,0.4859090375,1.0865256386,19.3298299696,28140949.153484065,True
15749.0,61,1,0.00853299,2461000.5,0.5030860272069245,0.7948729510676352,2460924.1812641993,18.05,0.6524616298,1.4589485569,27.4377860884,71380028.48041442,True
16477.0,572,0,0.00662601,2461000.5,0.4499362680235325,0.4641772223384067,2461124.783926365,20.43,0.2180494405,0.4875733714,17.4915658691,11911205.968456928,True
16284.0,83,1,0.153128,2461000.5,0.5646616075716824,1.101552200761238,2460956.7156243967,17.48,0.8483107619,1.8968805296,17.1348117091,25771799.401042502,False
15858.0,2780,0,0.0146456,2461000.5,0.3231610018585832,0.8190773163151691,2461053.7872167057,19.56,0.3255029858,0.727846803,12.9576030696,22268335.363241296,True
15208.0,211,0,0.0366368,2461000.5,0.4458609644108424,1.016589680452097,2460767.6392556643,19.01,0.4193290755,0.9376483177,10.8941174534,27345732.085040376,True
16395.0,1985,0,0.056701,2461000.5,0.4590032613687189,1.042983804799984,2461128.2267847843,17.45,0.8601119401,1.9232687664,9.7158922895,13926111.375569925,False
13904.0,680,0,0.177119,2461000.5,0.3166725844579009,1.055488181123793,2460685.582686404,17.94,0.6863647587,1.5347582577,7.3299903587,8206416.543000942,False
14206.0,1296,0,0.0191115,2461000.5,0.4440123314329569,0.5889944965048441,2461108.970283145,18.49,0.5327886649,1.1913516723,15.1768344049,10094314.19623201,True
32370.0,1544,0,0.0287294,2461000.5,0.5866098147000343,0.5961937236544746,2460895.572705144,17.28,0.930154254,2.0798881414,21.4229836366,14855001.501073815,True
